,step,dropout_train,dropout_test,no_dropout_train,no_dropout_test
165,412500,1.171866507029533,2.063578653335571,0.6843013680696487,4.486797285079956
166,415000,1.1741817200660705,1.8311068534851072,0.6826518613815308,4.08512544631958
167,417500,1.169856224513054,2.379550075531006,0.6837531735897064,3.4427051544189453
168,420000,1.1695687683820724,1.8564028024673465,0.6818610238432884,3.434707069396973
169,422500,1.177036428284645,2.027275633811951,0.6804691439032554,3.415545701980591
170,425000,1.1678248849868775,2.072509837150574,0.6821436011314392,3.650864267349243
171,427500,1.164426866889,1.9992204427719116,0.6781006543397904,4.002698373794556
172,430000,1.1675256618499756,1.90865216255188,0.6778497772574424,3.795360326766968
173,432500,1.170172184252739,1.9506455421447757,0.6795937720537185,4.010194396972656
174,435000,1.1616313894748689,2.1312415599823,0.6794866397857666,3.5490407705307008
175,437500,1.1676343908786773,2.41091570854187,0.6760997189044953,3.299318790435791
176,440000,1.1690544394254685,2.1719812631607054,0.6773385850548744,3.821293449401856
177,442500,1.1673878257274628,2.4102545976638794,0.6805424037456512,3.892952537536621
178,445000,1.1636511436462402,2.1374341011047364,0.6788222876787186,3.542755126953125
179,447500,1.170093003821373,1.9310853958129883,0.6761380994319915,3.893157434463501
180,450000,1.167374746465683,2.312484788894653,0.6753645219564438,4.308005237579346
181,452500,1.170368186712265,2.1121662139892576,0.6751229146122932,4.43862771987915
182,455000,1.1639230951309203,2.1910642862319945,0.6759079438328743,3.757806348800659
183,457500,1.1659113357067108,1.7877217292785643,0.6756797804236412,4.694552993774414
184,460000,1.1604969090938568,2.341664361953735,0.6757462211489678,3.298021078109741
185,462500,1.166483775305748,2.045753598213196,0.6764185004591942,4.028273200988769
186,465000,1.1660271675348282,1.963377046585083,0.674440170109272,3.215171766281128
187,467500,1.1631371004343032,2.4256704807281495,0.6754221455812455,4.342465877532959
188,470000,1.164593004345894,1.8576461791992187,0.6756574555516243,3.971851444244385
189,472500,1.16283819167614,2.520260953903198,0.6752708976268769,4.073138189315796
190,475000,1.1602423913240432,2.146096014976502,0.6737249195337296,3.19375
191,477500,1.1648500984191894,2.258227586746216,0.6727234297633171,3.859029245376587
192,480000,1.165681862425804,2.454099202156067,0.6730305348396302,3.8086063385009767
193,482500,1.1598835031747818,2.3742053508758545,0.6723350756287575,4.213367176055908
194,485000,1.1601473903894424,2.352787470817566,0.6746524139404297,4.576995992660523
195,487500,1.156394928073883,2.0557987451553346,0.67391051851511,3.7352988719940186
196,490000,1.1570392139911652,2.1048574924468992,0.6720183138728142,3.320806360244751
197,492500,1.1576780190229417,2.1922611236572265,0.6711910793304443,3.802476406097412
198,495000,1.156947794508934,2.2842570781707763,0.6706570031881333,3.869520425796509
199,497500,1.159343116593361,1.9641178131103516,0.6682421297907829,3.851664304733277
